G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
134,105,27.2,6.8,11,0.618,0.1,0.6,0.25,6.6,10.4,0.638,0.624,3.5,5.3,0.656,2.2,4.5,6.7,2.4,0.5,0.9,2,2.2,17.2,Drew Timme
59,33,22,3.9,8.1,0.479,1,2.5,0.399,2.9,5.6,0.515,0.541,2.7,3.5,0.783,1.7,5.4,7.2,0.9,0.6,0.6,1.8,2.3,11.5,Jabari Walker
32,0,12.7,1.2,3.7,0.322,0.2,1,0.226,1,2.7,0.356,0.352,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,0.9,1.6,3.3,Peyton Watson
35,28,29.3,5.1,12.6,0.404,1.5,5.1,0.303,3.5,7.5,0.471,0.465,2.7,4.1,0.657,0.7,3,3.7,2.4,1.3,0.1,2.2,1.9,14.4,Blake Wesley
130,60,19,4.7,8.8,0.531,0.1,0.2,0.31,4.6,8.5,0.536,0.535,1.5,2.8,0.529,2.7,4.2,7,1.8,0.7,0.5,1.7,2.3,10.8,Trevion Williams
19,18,35.6,5.3,14.5,0.367,1.8,6.2,0.299,3.5,8.3,0.418,0.431,4.1,5.9,0.69,1.5,2.2,3.6,1.6,1.5,0,2.7,2.5,16.6,Mark Williams
141,92,21.4,3.5,6.8,0.511,0.9,2.5,0.346,2.6,4.3,0.608,0.575,1.4,1.8,0.776,1.1,2.8,3.9,1.6,0.6,0.8,1.2,1.9,9.3,Jaylin Williams
90,59,23.9,4.2,8.6,0.488,0.7,2.5,0.27,3.5,6.1,0.578,0.528,2,2.8,0.699,0.9,3,3.9,2.6,0.8,0.2,2.1,1.9,11.1,Alondes Williams
158,151,26.6,5.4,10.1,0.535,0.6,1.6,0.357,4.8,8.5,0.569,0.564,2.2,3,0.74,1.6,4.1,5.7,0.8,0.6,0.6,1.6,2.8,13.6,Bryson Williams
104,89,30.6,4.9,11.3,0.434,1.3,4.3,0.316,3.5,7,0.506,0.494,3,4.2,0.732,1.7,6,7.7,2,0.8,0.4,1.8,2,14.2,Jalen Wilson
